1400 , -1.34356 , 126.0
1402 , -0.859571 , 126.0
1404 , -0.232855 , 126.0
1406 , 0.463154 , 126.0
1408 , 1.13966 , 126.0
1410 , 1.70848 , 126.0
1412 , 2.05512 , 126.0
1414 , 2.16762 , 126.0
1416 , 2.13935 , 126.0
1418 , 1.94134 , 126.0
1420 , 1.55944 , 126.0
1422 , 1.09086 , 126.0
1424 , 0.619573 , 126.0
1426 , 0.203292 , 126.0
1428 , -0.119803 , 126.0
1430 , -0.333569 , 126.0
1432 , -0.416088 , 126.0
1434 , -0.468835 , 126.0
1436 , -0.418509 , 126.0
1438 , -0.344244 , 126.0
1440 , -0.255531 , 90.0
1442 , -0.171476 , 90.0
1444 , -0.101909 , 90.0
1446 , -0.0505914 , 90.0
1448 , -0.0169103 , 90.0
1450 , 0.0 , 90.0
1452 , 0.00924715 , 90.0
1454 , 0.0 , 90.0
1456 , 0.0 , 90.0
1458 , 0.0 , 90.0
1460 , 0.0 , 90.0
1462 , 0.0 , 90.0
1464 , 0.0 , 90.0
1466 , 0.0 , 90.0
1468 , 0.0 , 90.0
1470 , 0.0 , 90.0
1472 , 0.0 , 90.0
1474 , 0.0 , 90.0
1476 , 0.0 , 90.0
1478 , 0.0 , 90.0
1480 , 0.0 , -72.0
1482 , 0.0 , -72.0
1484 , 0.0 , -72.0
1486 , 0.0 , -72.0
1488 , 0.0 , -72.0
1490 , 0.0 , -72.0
1492 , 0.0 , -72.0
1494 , 0.0 , -72.0
1496 , 0.0 , -72.0
1498 , 0.0 , -72.0
1500 , 0.0 , -72.0
1502 , 0.0 , -72.0
1504 , 0.0 , -72.0
1506 , 0.0 , -72.0
1508 , 0.0 , -72.0
1510 , 0.0356918 , -72.0
1512 , 0.0674088 , -72.0
1514 , 0.111272 , -72.0
1516 , 0.16432 , -72.0
1518 , 0.212645 , -72.0
1520 , 0.239744 , -72.0
1522 , 0.228843 , -72.0
1524 , 0.156079 , -72.0
1526 , 0.0426437 , -72.0
1528 , -0.0684449 , -72.0
1530 , -0.393105 , -72.0
1532 , -0.822565 , -72.0
1534 , -1.32783 , -72.0
1536 , -1.84869 , -72.0
1538 , -2.30533 , -72.0
1540 , -2.52846 , -72.0
1542 , -2.40997 , -72.0
1544 , -1.97941 , -72.0
1546 , -1.24355 , -72.0
1548 , -0.517542 , -72.0
1550 , 0.0990675 , -72.0
1552 , 1.13414 , -72.0
1554 , 2.17622 , -72.0
1556 , 3.01957 , -72.0
1558 , 3.55358 , -72.0
1560 , 3.72256 , 216.0
1562 , 3.47835 , 216.0
1564 , 2.7966 , 216.0
1566 , 1.96388 , 216.0
1568 , 1.23775 , 216.0
1570 , 0.51741 , 216.0
1572 , 0.0 , 216.0
1574 , -0.391048 , 216.0
1576 , -0.686221 , 216.0
1578 , -0.810874 , 216.0
1580 , -0.812212 , 216.0
1582 , -0.712666 , 216.0
1584 , -0.553649 , 216.0
1586 , -0.394375 , 216.0
1588 , -0.250278 , 216.0
1590 , -0.13704 , 216.0
1592 , -0.0576499 , 216.0
1594 , -0.00126849 , 216.0
1596 , 0.0139967 , 216.0
1598 , 0.0261154 , 216.0
1600 , 0.0 , -72.0
1602 , 0.0 , -72.0
1604 , 0.0 , -72.0
1606 , 0.0 , -72.0
1608 , 0.0 , -72.0
1610 , 0.0 , -72.0
1612 , 0.0 , -72.0
1614 , 0.0 , -72.0
1616 , 0.0 , -72.0
1618 , 0.0 , -72.0
1620 , 0.0 , -72.0
1622 , 0.0 , -72.0
1624 , 0.0 , -72.0
1626 , 0.0 , -72.0
1628 , 0.0 , -72.0
1630 , 0.0208214 , -72.0
1632 , 0.0704787 , -72.0
1634 , 0.149242 , -72.0
1636 , 0.260155 , -72.0
1638 , 0.399647 , -72.0
1640 , 0.552873 , -108.0
1642 , 0.650032 , -108.0
1644 , 0.684266 , -108.0
1646 , 0.683555 , -108.0
1648 , 0.610505 , -108.0
1650 , 0.280952 , -108.0
1652 , -0.278629 , -108.0
1654 , -1.03514 , -108.0
1656 , -1.931 , -108.0
1658 , -2.86618 , -108.0
1660 , -3.70859 , -108.0
1662 , -4.31446 , -108.0
1664 , -4.25263 , -108.0
1666 , -4.2683 , -108.0
1668 , -3.63998 , -108.0
1670 , -2.53564 , -108.0
1672 , -1.14368 , -108.0
1674 , 0.357134 , -108.0
1676 , 1.76874 , -108.0
1678 , 2.90948 , -108.0
1680 , 3.64589 , 216.0
1682 , 3.8646 , 216.0
1684 , 3.7246 , 216.0
1686 , 3.15727 , 216.0
1688 , 2.33828 , 216.0
1690 , 1.41587 , 216.0
1692 , 0.533873 , 216.0
1694 , -0.189831 , 216.0
1696 , -0.521023 , 216.0
1698 , -0.639511 , 216.0
1700 , -0.403477 , 216.0
1702 , -0.439957 , 216.0
1704 , -0.21829 , 216.0
1706 , 0.229923 , 216.0
